uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Sao Paulo,Rua David Eid,241 -,Interlagos,(11) 5613-5613,1073444
SP,Sao Paulo,Avenida Lins de Vasconcelos,1264 -,Cambuci,(11) 3385-8000,658138
SP,Sao Paulo,Rua Alvares Penteado,208/216 -,Centro,(11)2173-4719,1039939
SP,Ribeirao Preto,Rua Mariana Junqueira,623 -,Centro,11 4766-0611/ 16 3711-8933,17140
SP,Sao Paulo,Rua Augusta,973 -,Consolação,(11) 3257 4088,658380
SP,Sao Paulo,Alameda Santos,2209 - 9º Andar,Jardim Paulista,(11) 3086-0105,1036796
SP,Sao Paulo,Rua do Bosque,60 - - Até 1159/1160,Barra Funda,1155935344,1069717
SP,Santos,Avenida Conselheiro Nébias,159 -,Paquetá,(13)2127-0003,659971
SP,Rio Claro,"Avenida Santo Antonio, Maria Claret, Nº 1724.",1724 -,Cidade Claret,(19) 2111-6000,3947
SP,Rio Claro,Avenida 11,647 -,Saúde,19 3024-0255,6588
SP,Sao Paulo,Av. Adolfo Pinheiro,893 - Faculdade Esamc,Santo Amaro,(11) 2424-3860,1077629
SP,Rio Claro,"Av. 37, 1000, Cidade Jardim.",1000 -,Cidade Jardim,(19) 3524-7454,6933
SP,Sao Paulo,Avenida Afonso de Sampaio e Sousa,495 -,Parque do Carmo,11 984440554,140542
SP,Sao Paulo,Rua Barão de Tefé,247 -,??gua Branca,(11)3111-1300,1056846
SP,Rio Claro,Rua 22 Be,668 -,Chácara Luza,43-33717473 31 21260820,2008419
SP,Rio Claro,Rua Vinte e Quatro,1701 -,Jardim São Paulo,0800-7744030,9627
SP,Sao Paulo,Rua Engenheiro Aluísio Marques,00 -,Parque Maria Helena,(11) 5511-4593,1042134
SP,Santa Adelia,Rua dos Expedicionários,655 -,Centro,34-33198993,8181
SP,Sao Paulo,Av. Imirim,1424 -,Imirim,011-22556112,3258
SP,Sao Paulo,Rua São Teodoro,1452/1516 -,Vila Carmosina,(11) 30677971,1068269
SP,Sao Paulo,Praça Domingos Correa da Cruz,14 -,Santana,11 30677971,1059096
SP,Rancharia,Avenida Pedro de Toledo,1149 -,Vila Guaçu,(18) 3265-5100,658844
SP,Sao Paulo,Rua Pedro Paulino dos Santos,157 -,Jardim Três Marias,11 30677971,1062953
SP,Sao Paulo,Avenida Tucuruvi,470 -,Tucuruvi,(11) 30677971,1068265
SP,Sao Paulo,Rua Rui Barbosa,377 -,Bela Vista,(61) 3247-5958,1085559
SP,Sao Paulo,Rua Des. Paulo Passaláqua,86 -,Pacaembu,(13) 32329273,1065773
SP,Sao Paulo,Rua Nossa Senhora da Lapa,284 -,Lapa,(11) 3649 7000,657807
SP,Rio Claro,Avenida Santo Antonio Maria Claret,1724 -,Cidade Claret,(19) 2111 6000,658817
SP,Ribeirao Preto,Avenida: Castelo Branco,2490 -,Nova Ribeirânia,16 35150334,1054019
SP,Sao Paulo,Rua Tuiuti,1442 -,Tatuapé,(11) 2093-2431,1045194
SP,Sao Paulo,Avenida Brigadeiro Luís Antônio,871 -,Bela Vista,(43) 3371-7473  (31) 2126-0820,2008604
SP,Porto Ferreira,Avenida Padre Nestor Cavalcante Maranhão,40 -,Jardim Aeroporto,(19) 3585 6111,1049596
SP,Porto Ferreira,Avenida Engenheiro Nicolau de Vergueiro Forjaz,1171 -,Centro,(19)3581-5332,9766
SP,Sao Paulo,Av. Braz Leme,3029 -,Santana,-,2008603
SP,Sao Paulo,Rua Afonso Celso,235 -,Vila Mariana,(43) 3371-7473  (31) 2126-0820,2008601
SP,Sao Paulo,Rua Carolina Fonseca,584 -,Itaquera,(11) 2070 0012,657834
SP,Sao Paulo,Avenida Paulista,2.200 - Edifício Central Park - 7º Andar,Cerqueira César,(11)3266-5944 / (11)3016--5998 / (11)3016--5998,659662
SP,Sao Paulo,Av. Paulista,2000 -,Bela Vista,(11) 3293-1709,33621
SP,Sao Paulo,Rua Augusto Tolle,575 - - Até 593/594,Santana,67 33123335,1064816
SP,Sao Paulo,Rua Vinte e Quatro de Maio,35 -,Centro,(11) 3362-2248 - 3221-3107,2006292
SP,Sao Paulo,Rua João Pereira,387 -,Lapa,(11) 3834-4147 - 9.9835-8555,2006288
SP,Praia Grande,Rua Tupi,521 -,Tupi,(13)34944003,9890
SP,Sao Paulo,Rua Casa do Ator,"- Nºs  90, 275,294,340",Vila Olímpia,(11) 3293-1707/ (11)3293-1709,707833
SP,Pirassununga,"Rua Duque de Caxias Norte, ?? 550, Jardim Elite.",530 -,Jardim Leite,(19)3561-2535,6932
SP,Pirassununga,I.r. Siqueira Campos 1.167. Centro.,1.167 -,Centro,(19) 3561-2762,9607
SP,Sao Paulo,Avenida Marquês de São Vicente,446 -,Barra Funda,(11) 4766-0611 ou (11) 2178-1411,23601
SP,Sao Paulo,Rua Cesário Galero,448/475 - 474,Tatuapé,(11) 2178-1410,1002328
SP,Sao Paulo,Rua Mimas,99 -,Jardim Santa Bárbara,(11) 47660611 ou (11) 2178-1411,9860
SP,Sao Paulo,Av. Regente Feijó,1.295 - Jardim Anália Franco,Tatuapé,(11) 47660611/20375782,1543
SP,Presidente Prudente,Rua Tomogiro Ochiai,215 -,Bongiovani,43-33717473 31 21260820,2008422
SP,Presidente Prudente,Rua José Bongiovani,700 - Campus Universitário,Cidade Universitária,(18) 32291000,657815
SP,Sao Paulo,Rua Monte Alegre,984 -,Perdizes,(11) 3670 8278  / (11)36708309,657963
SP,Presidente Venceslau,Rua Piracicaba,47 -,Jardim Coroados,(18) 3272-9440,700481
SP,Sao Paulo,Rua Dr. Almeida Lima,1124 e 1134 - Centro,Brás,(11)32931709,2503
SP,Sao Paulo,Rua Galvão Bueno,868 -,Liberdade,(11) 47660611/20375782,2788
SP,Sao Paulo,Rua Butantã,285 -,Pinheiros,(11) 47660611/20375782,24522
SP,Pindamonhangaba,Av. Nossa Senhora do Bom Sucesso,3344 -,Campo Alegre,(43) 3371-7473 (31) 2126-0820,23037
SP,Registro,Rua Oscar Yoshiaki Magário,185 - Térreo,Jardim das Palmeiras,0,658575
SP,Sao Paulo,Avenida Doutor Ussiel Cirilo,225 - Vila Jacuí,São Miguel,(11) 47660611/20375782,657790
SP,Pilar do Sul,"Rua Professora Isaura Costa e Silva . 21, Centro.",265 -,Centro,(43) 3371-7473 (31) 2126-0820,23047
SP,Ribeirao Pires,Rua Coronel Oliveira Lima,3345 -,Parque Aliança,(11) 4822-8520,658388
SP,Piacatu,Rua Antonio Gomes Jardim,101 -,Centro,(43) 3371-7473  (31) 2126-0820,18938
SP,Sao Paulo,Avenida Interlagos,1.329 -,Jardim Marajoara,(11)5694-7935,3507
SP,Presidente Prudente,Avenida Presidente Prudente,6093 -,Jardim Aeroporto,(18)39189800,658705
SP,Sao Paulo,Avenida Imperatriz Leopoldina,550 - - Até 550 - Lado Par,Vila Leopoldina,(11) 3648 5053,1894
SP,Piracicaba,Rua José Ferraz de Camargo,292 -,Jardim Carmelitas,(19) 3417-2831,6921
SP,Piracicaba,Rua São Sebastião,37 -,Vila Monteiro,(19) 3414-2338 -3302-7336 - 3371-9889 - 8344-5181,2006820
SP,Sao Paulo,Avenida Professor Luiz Ignácio Anhaia Mello,1363 - - Até 2001 - Lado ??mpar,Vila Prudente,11-3385-9248,1063075
SP,Piracicaba,Rua Treze de Maio,544 -,Centro,(43) 3371-7473  (31) 2126-0820,3165
SP,Piracicaba,Rua Boa Morte,1835 -,Centro,(19) 343-73877,698327
SP,Sao Paulo,Rua Doutor Bacelar,1212 -,Mirandópolis,(11)5586-4240,657837
SP,Sao Paulo,Rua Pe. Carvalho,566 -,Pinheiros,(11) 3039-7900,2645
SP,Sao Paulo,Rua Cancioneiro Popular,210 -,Santo Amaro,(011) 2114-4000,2641
SP,Sao Paulo,Rua Francisco Bautista,300 - Km 12 da Rodovia Anchieta,Jardim Santa Cruz,(11) 2332 1300,2639
SP,Paulinia,Rua  Maria das Dores Leal de Queiroz,1108 -,Jardim Vista Alegre,(19) 3833-2573,2003879
SP,Pirajui,Av. Rui Barbosa,338 -,Centro,(14)3572-3300,9793
SP,Paulinia,Rua Nélson Pródocimo,495 -,Bela Vista,(19) 3874 4035,658897
SP,Sao Paulo,Avenida Paulista,900 -,Bela Vista,11 3170 3700,2644
SP,Sao Paulo,Rua Amazonas da Silva,737 -,Vila Guilherme,(11) 6090-1550,2646
SP,Pindamonhangaba,Avenida Nossa Senhora do Bom Sucesso,3344 -,Campo Alegre,(31) 21260820,1039666
SP,Paulinia,Rua Nossa Senhora de Fátima,196 -,Nova Paulinia,0800-7744030,22524
SP,Sao Paulo,Rua Apeninos,267 -,Aclimação,(11) 3347-1000,2648
SP,Sao Paulo,Avenida Torres de Oliveira,330 -,Jaguaré,(11) 3767-5800,2642
SP,Pirassununga,Avenida Painguás,225/243 -,Jardim Urupês,(19) 3561-1543,702273
SP,Porto Feliz,Av. Monsenhor Seckler,1250 -,V. América,15 32614549,1069978
SP,Sao Paulo,Rua Antonio Macedo,505 -,Parque São Jorge,(11) 2090-4500,695414
SP,Sao Paulo,Av. Ministro Petrônio Portela,11 -,Freguesia do ??,00,10266
SP,Paranapanema,Rua Dr. Fortunato Martins de Camargo,187 -,Centro,(14) 3713-1226,9111
SP,Sao Paulo,Av. do Cursino,5983 -,Saúde,00,10207
SP,Sao Paulo,Rua Guaranésia,866 -,Vila Maria,00,12177
SP,Sao Paulo,Rua Tijuco Preto,252 -,Tatuapé,00,9920
SP,Sao Paulo,Rua da Consolação,896 - Campus São Paulo,Consolação,(11) 2114 8000,657684
SP,Sao Paulo,Rua Carlos Escobar,193 -,Santana,0,21524
SP,Sao Paulo,Av. Francisco Morato,"2.718 - G2, 2° Pavimento",Butantã,00,22658
SP,Osasco,Rua Thomás Spitaletti,100 -,Centro,(11) 3683-5909,6576
SP,Osasco,Rua São Bento,11 -,Vila Yolanda,(11) 989338307,1065440
SP,Sao Paulo,Avenida Angélica,2563 - 2º Ao 14º Andares,Bela Vista,3133199226,1082211
SP,Osasco,Rua Euclides da Cunha,390 -,Centro,08007717744,659025
SP,Osasco,Av. dos Autonomistas,1325 -,Centro,(43) 3371-7473  (31) 2126-0820,2008433
SP,Osasco,Avenida dos Autonomistas,1325 -,Vila Campesina,(11)36999000,543
SP,Sao Paulo,Av. Alexandre Dumas,2016 -,Chácara Santo Antônio (zona Sul),3133199226,1082210
SP,Olimpia,Rua Bruno Riscali,S/nº -,Vila Hípica,(17) 3281 8982,693260
SP,Sao Paulo,Avenida Jabaquara,1.870 -,Mirandópolis,3133199226,1083604
SP,Osasco,Av. das Flores,500 -,Jd. das Flores,00,9593
SP,Sao Paulo,Avenida Marquês de São Vicente,3001 -,??gua Branca,11-37675800,2643
SP,Peruibe,Avenida Darcy Fonseca,530 -,Jardim dos Prados,(13) 3821-6122,659789
SP,Peruibe,Rua Prudente de Moraes,1.172 -,Ribamar,(13)3455-9415,10022
SP,Ourinhos,"Av. Conselheiro Rodrigues Alves, ?? 121, Centro.",121 -,Centro,(14) 3322-4214,6942
SP,Ourinhos,Rua do Expedicionário,473 -,Centro,143324-3519,2006104
SP,Osasco,Rua Minas Bogasian,308  -,Centro,(11) 4620-2493 - 11-3681-3419,2006282
SP,Osasco,Rua Dr Carlos de Morais Barros,343 - 3º Andar - L27 Quadra 4,Vila Campesina,(11) 3293-1709,1070958
SP,Mogi-mirim,Rua Ministro Cunha Canto,312 -,Centro,(19) 3806-1825,9227
SP,Sao Paulo,Avenida Tucuruvi,550 -,Tucuruvi,0,10205
SP,Penapolis,Av. Olson,552 -,Centro,(18)3654-0297,9257
SP,Novo Horizonte,Rua Doutor Mário Florence,144 -,Jardim Aeroporto,(17) 3542 6003/3542-6004,658628
SP,Mogi das Cruzes,Rua Gustavo Vieira de Lima,139 -,Vila Rubens,(11) 4795.9902,27929
SP,Monte Mor,Rua Luis de Almeida,39 -,Cidade Jardim,(19)3879-2132,9832
SP,Pedreira,"Rua José Maria Leonardi ,  391, Jardim São Jorge.",391 -,Jardim São Jorge,(19)3852-2730,7014
SP,Pedreira,R. Germiniano Stranieri,289 -,Pq. Bela Vista,(19) 3852-3718,9596
SP,Penapolis,Av. Marginal Maria China,1475 -,Centro,(18)3652-3856,9781
SP,Nova Granada,Avenida Adolfo Rodrigues,1109 -,Centro,34-33198993,1056617
SP,Mogi das Cruzes,Av. Francisco Rodrigues Filho,2075 -,Vila Nova Mogilar,(11)4699-1838,17054
SP,Mirassol,Avenida Luis Fernando Moreira,1005 -,Jardim São José,(17) 3243 7150,658265
SP,Mirassol,Rua Xv de Novembro,2145 -,Centro,0800-7744030,12276
SP,Nhandeara,Rua Edimilson Pessoa Cavalcanti,1011 -,Centro,(17) 3472-1011,9782
SP,Martinopolis,Rua Nove de Julho,676 -,Centro,(018) 3275 1430,1055704
SP,Osasco,Av. Corifeu de Azevedo Marques,5240 -,Jaguaré,(11) 3714-9779,6919
SP,Marilia,Rua Comendador Fragata,58 - - Até 570/571,Fragata,(11)964341464,1051972
SP,Marilia,Avenida Higyno Muzzy Filho,529 -,Campus Universitário,(14)21050833,659539
SP,Mogi das Cruzes,Av. Francisco Rodrigues Filho,1233 -,Mogilar,(011)47664466,25802
SP,Marilia,Avenida Antonieta Altenfelder,65 -,Jardim Santa Antonieta,(14)3481-7737,704699
SP,Marilia,Rua 24 de Dezembro,1251 -,Centro,(14) 3453-5865,1043844
SP,Marilia,Avenida Higyno Muzzi Filho,1.001 - Bloco I,Campus Universitario,(14) 21054000,657884
SP,Marilia,Avenida Pedro de Toledo,1819 -,Palmital,(14) 3413-2798,9574
SP,Marilia,Rua Sergipe,795 -,Banzato,(43) 3371-7473  (31) 2126-0820,1051572
SP,Maua,Rua General Osório,168 -,Centro,(11) 4516-1900,27928
SP,Maua,Rua Vitorino Dell'antônia,349 -,Vila Noemia,(11) 4512 - 6100,658778
SP,Maua,R. General Osório,371 -,V. Bocaina,(11) 4519-6476,9582
SP,Ribeirao Bonito,Rua Francisco Pereira,325 -,Centro,(16) 3344-3319,9621
SP,Lins,Rua Dom Bosco,265 -,Centro,(14) 3533-6200,659861
SP,Lins,Avenida Nicolau Zarvos,1925 -,Jardim Aeroporto,(14) 3533 3200,658810
SP,Limeira,Rua Sete de Setembro,666 -,Centro,19 3453-3011,2006072
SP,Limeira,Avenida Engenheiro Antonio Eugênio Lucato,2515 -,Vila Camargo,19 3444-3239,1051289
SP,Marilia,Rua Sergipe,34 -,Marília,14 3113-8070,6575
SP,Limeira,Rua Clarino Peixoto de Oliveira,290 -,Jardim Maria Buchi Modeneis,(43) 3371-7473 (31) 2126-0820,24084
SP,Limeira,Avenida Campinas,1309 -,Vila Independência,(19) 3446-3000,1573
SP,Mairipora,"Rua Padre Vairo, 1º Andar",195 -,Centro,(11) 46042001,2003871
SP,Mogi das Cruzes,Avenida Doutor Cândido Xavier de Almeida Souza,200 - Campus Universitário,Centro Cívico,(11) 4798 7077,657950
SP,Lorena,Avenida Doutor Peixoto de Castro,539 -,Cruz,(12) 21242888; (12) 21242816,106387
SP,Maua,Rua Manoel Pedro Júnior,280 -,Vila Bocaina,44-30276360 ramal 1109,1069230
SP,Mogi das Cruzes,Rua Tenente Manoel Alves dos Anjos,687 -,Centro,00,9585
SP,Mogi-guacu,"Av. Emília Marchi Martini, 940, Jardim Canta Galo.",940 -,Jardim Canta Galo,11 4766-0611/ 16 3711-8933,17093
SP,Mogi-guacu,Rua Vereador João da Rocha Franco,583 -,Centro,(43) 3371-7473  (31) 2126-0820,7075
SP,Mogi-guacu,"Av. Carlos Braga de Faria, 188 Jd Cruzeiro",188 -,Jd Cruzeiro,19 3831-7262,17141
SP,Jau,Rua Tenente Navarro,642 -,Chacara Miraglia,(14) 2104 3366,658423
SP,Jau,Praça Doutor Adolfo Bezerra de Menezes,S/n - Jaú,Jardim Estádio,NI,1082293
SP,Mococa,Av. Américo Pereira Lima,493 -,Jardim Lavínia,(19) 3666-1400,27894
SP,Mogi-guacu,Av. Mogi Mirim,1313 -,Morro Amarelo,(19)3861-3315,9830
SP,Leme,Rua Waldemar Silenci,340 -,Cidade Jardim,(19)3571-5717,658217
SP,Jau,Av. Rodolpho Magnani,431 -,Centro,(14) 3622-4895,9559
SP,Jundiai,Avenida Jundiaí,291 e 295 -,Anhangabaú,044-30276360,1063375
SP,Jundiai,Rua Marechal Deodoro da Fonseca,414 B -,Centro,11-4521-2565,2006064
SP,Jaguariuna,Rua Silvia Bueno,233 -,Centro,0800-7744030,9562
SP,Jau,Rua Gaudêncio Guacelli,50 -,Vila Assis,(43) 3371-7473  (31) 2126-0820,4288
SP,Jundiai,Rua Abílio Figueiredo,23 -,Anhangabaú,(11) 3293-1707,2000599
SP,Jundiai,Av. Armando Giassetti,557 - Trevo Itu/itatiba,Vila Hortolândia,(11)45216995,1572
SP,Jundiai,Avenida Armando Giassetti,577 -,Vila Hortolândia,(11)4815-2333,9545
SP,Jundiai,Rua Bartolomeu Lourenço,175 -,Centro,(11) 4815-2000,10719
SP,Limeira,Rua Raul Machado,134 -,Vila Queiroz,(19) 34049594,1683
SP,Mogi-guacu,Rua Pedro Antônio de Arruda,420 -,Jd Murilo,(19 )3861-2412,6931
SP,Lucelia,Avenida Brasil,1485 -,Centro,(43) 3371-7473  (31) 2126-0820,18947
SP,Jarinu,Rua José de Moura,02 -,Centro,11 4016-1379,6570
SP,Jundiai,Rua Coronel Boaventura Mendes Pereira,211 -,Vila Boaventura,(19) 3737-4390,1060721
SP,Itarare,Rua João Guizzi,491 -,Centro,15 35313419,2006049
SP,Jundiai,Avenida Dr. Adoniro Ladeira,94 -,Vila Jundiainopolis,(11) 45265967,3241
SP,Matao,Via Augusto Bambozzi,100 -,Boa Vista,(16) 3394 1420,1006172
SP,Jaboticabal,Rua Floriano Peixoto,839/873 -,Centro,(16) 3209 1800,657948
SP,Itatiba,Avenida Senador Lacerda Franco,360 -,Centro,(11) 4524-1933,1081248
SP,Itatiba,Rua América,149 - Itatiba,Vila Brasileira,(19) 9917-91947,1084978
SP,Itapira,Avenida Rio Branco,99 -,Centro,(19) 3863 5510,105541
SP,Itapira,Rua Alfredo Pujol,230 -,Centro,(19)3863-5510,9549
SP,Itapira,Av. Rio Branco,472 -,Centro,(19) 3863-3303,9751
SP,Ituverava,Rua Maria Liporaci,159 -,Centro,(16) 3729-4622,9754
SP,Itatiba,Rua Aristides Lobo,75 -,Centro,(11) 4538-2956,9552
SP,Ituverava,Rua Coronel Flauzino Barbosa Sandoval,1259 -,Cidade Universitária,(16) 3729 9000,657894
SP,Itapeva,Rua 13 de Maio,207 -,Centro,(15)3521-3562,2006044
SP,Itapolis,Rua Mário de Souza Castro,200 -,Santa Mônica,(16) 3263 9210,658368
SP,Itapeva,Rua Benjamin Constant,1115 -,Parque das Paineiras,(15)3522-1148,10131
SP,Limeira,Rua Clarino Peixoto de Oliveira,280 -,Jardim Maria Brushi Modeneis,0,102283
SP,Jacarei,Rua Borba Gato,48 -,Centro,(12)3952-2190,9320
SP,Jacarei,Rua Santa Catarina,75 -,Vila Pinheiro,(12) 3961 1733,660089
SP,Ilhabela,Av. Princesa Isabel,2320 - Sl 01 2ºandar,Barra Velha,(12) 3894-1460,2008340
SP,Jacarei,Rua Santa Catarina,75 -,Centro,(43) 3371-7473 (31) 2126-0820,24122
SP,Itaquaquecetuba,Rua Rio Tietê,80 - Itaquaquecetuba,Jardim Nova Itaquá,(11) 9929-24535,1084575
SP,Iaras,Praça Monção,453 -,Centro,(14)3764-9405,27875
SP,Itapeva,Rodovia Francisco Alves Negrão (sp 258),Km 285 -,Pilão D'água,(15) 3526 8888,131945
SP,Hortolandia,Rua Pinheiros,117 -,Parque dos Pinheiros,1935049994,2006024
SP,Hortolandia,Rua Pastor Hugo Gegembauer,265 -,Parque Ortolândia,(19) 3858-5300,702960
SP,Hortolandia,Rua Zacarias Costa Camargo,65 -,Remanso Campineiro,(43) 3371-7473  (31) 2126-0820,2008469
SP,Ibitinga,Rua Jacinto de Arruda Prado,400 -,Jd. Centenário,(16) 3342-6933,9531
SP,Itapevi,Rua Carmem Sílvia Almeida,23 -,Cidade da Saúde,11 4205-0389,6567
SP,Itapevi,Avenida Cesário de Abreu,1155 -,Centro,11 984440554,1061586
SP,Guarulhos,Rua Argentina,59 -,Vila Endres,044-30276360,1063370
SP,Guarulhos,Rua Força Pública,89 -,Centro,(11)2472-5518,659438
SP,Guarulhos,Rodovia Hélio Smift,S/n -,Aeroporto,11-2412-9388,2006022
SP,Guarulhos,Rua Força Pública,89 -,Centro,(11)2472-5530,658850
SP,Guarulhos,Rua João Gonçalves,455/471 -,Centro,(11) 20877090,659846
SP,Ilha Solteira,Alameda Bahia,490-c -,Centro,(18) 3743-3905,693741
SP,Guarulhos,Rua Papa Pio Xii,291 -,Macedo,(11) 21074309,25510
SP,Guaruja,Avenida Dom Pedro I,3300 -,Enseada,(13) 3398 1000,692522
SP,Guaruja,Av. General Rondon,50 -,Vl. Alzira,(13)3384-5533,9525
SP,Guaruja,Avenida Adhemar de Barros,820 -,Vila Santo Antonio,(13) 3355-4101 / (13)33554855,658366
SP,Guarulhos,Rua do Rosario,300 -,Vila Camargos,(43) 3371-7473  (31) 2126-0820,2008623
SP,Guaruja,Avenida Presidente Vargas,478 -,Parque Estuário,(13)3341-3100,14795
SP,Itaporanga,Rua São João,541 -,Centro,(15) 3565-1155,9753
SP,Itu,Praça Divino Salvador,51 -,Jardim Paraiso,(11) 4022-7161,9314
SP,Guarulhos,Rua Tapaciquara,101 -,Parque Renato Maia,(11) 3293-1707,2000582
SP,Itatiba,Rua Joaquim Augusto Sanfins,45 -,Santo Antonio,(43) 3371-7473  (31) 2126-0820,2008463
SP,Holambra,Estrada Municipal Hbr,40 -,Fund-o,(19) 99204-3251,1084965
SP,Itu,Trav.  do Carmo,105  -,Centro,(11) 4013-1654,2003863
SP,Franca,"Rua Dionísio Faciolli, 1654, Vila França.",1654 -,São José,(16) 3707-1000,9274
SP,Franca,Avenida Doutor Armando Sales Oliveira,201 -,Parque Universitário,11 4766-0611/ 16 3711-8933,657936
SP,Ibiuna,Rua Maurício Benedito Germano,26 -,Centro,15 3241-2652,16655
SP,Fernandopolis,Av. Primo Angelucci,330 -,Centro,(17) 3448-3999,9245
SP,Matao,Rua Via Augusto Bambozzi,100 -,Boa Vista,(43) 3371-7473 (31) 2126-0820,23143
SP,Engenheiro Coelho,Rua Dionísio Berton,383 -,Jardim do Lago Ii,(19) 3857-9378,9521
SP,Dracena,Rua São Paulo,703 -,Centro,(018) 3822 2085,1055702
SP,Fernandopolis,Estrada Santa Projetada,S/n - Faz Sta Rita,Faz Sta Rita,(17)34426197,2457
SP,Guaira,Avenida Marginal do Lago,1000 -,Pq. Marica,19 3517 3718,1059912
SP,Fernandopolis,Avenida Teotônio Vilela,S/n -,Campus Universitário,1734650000,658384
SP,Guaratingueta,Rua Frei Lucas,80 -,Centro,12-3122-2049 /12 -3122-6213,2008196
SP,Cubatao,Avenida Pedro José Cardoso,670 -,Vila Paulista,(11) 4766-0611 ou (11) 2178-1411,23927
SP,Cruzeiro,Rua Doutor Celestino,380 -,Centro,(12)3143-4573,14710
SP,Guaratingueta,Avenida Pedro de Toledo,195 - Pavimento Superior,Vila Paraíba,(12) 3125  2911,657932
SP,Itu,Rua do Patrocínio,"716 - Blocos Viii, Ix, X e Xii",Centro,(11) 4013-9900,658285
SP,Guarulhos,Rua Barão de Mauá,95 -,Centro,(11)64093533 64093719,659488
SP,Descalvado,Av Hilario da Silva Passos,950 -,Pq Universitário,(19)3593-8512,705030
SP,Guaratingueta,Rua Paissandu,181 -,Centro,(11) 8186 0800,1055867
SP,Cosmopolis,Rua Sete de Setembro,639 -,Bela Vista,(19)3812-3166,9787
SP,Itapecerica da Serra,Avenida Xv de Novembro,1586 -,Centro,(11) 4165-9208,659961
SP,Guaratingueta,Avenida Juscelino Kubitschek de Oliveira,957 -,Campo do Galvão,-,1073088
SP,Itapecerica da Serra,Estrada dos Maciéis,210 -,Embu Mirim,(11)46686767,659724
SP,Clementina,Rua Barão de Cotegipe,415 -,Centro,43-33717473 31 21260820,1060730
SP,Conchas,Rua Maranhão,376 -,Centro,(14)981344809,1068649
SP,Descalvado,Av. Pio Xii,100 -,Centro,19 35838060,2005992
SP,Cotia,Avenida Professor Joaquim Barreto,294 -,Centro,(43) 3371-7473  (31) 2126-0820,22463
SP,Cotia,Rua Amador Antônio dos Passos,45 -,Centro,00,9790
SP,Diadema,Avenida Alda,831 -,Parque 7 de Setembro,(11) 4055  5224,695520
SP,Capivari,Praça Archangelo Forti,21 -,Centro,(43) 3371-7473  (31) 2126-0820,1059985
SP,Cravinhos,Rua Dr José Eduardo Vieira Palma,313 -,Centro,(16) 3951-8363  (16) 9727-8881 (16) 3951-5576,2006818
SP,Capivari,Rua Barão do Rio Branco,374 -,Centro,(19) 3492-8888,657992
SP,Capivari,Rua Barão do Rio Branco,374 -,Centro,(19) 3492-4630; (61) 3340-3661,1051005
SP,Indaiatuba,Avenida Nove de Dezembro,460 -,Jardim Pedroso,1938859900,1055645
SP,Hortolandia,Rua João Blumer,112 -,Remanso Campineiro,0800-7744030,22671
SP,Carapicuiba,Avenida Rui Barbosa,540 - Cj 32 1º Andar,Centro,(11) 4164-4595,2005966
SP,Carapicuiba,Avenida Antônio Roberto,342 -,Jardim das Belezas,43-33717473 31 21260820,1060843
SP,Campo Limpo Paulista,Rua Guatemala,167 -,Jardim América,11 48129400,701928
SP,Campos do Jordao,"Av. Januário Miraglia,  2328. Jaguaribe.",2328 -,Jaguaribe,(12) 3664-6564,12291
SP,Casa Branca,Rua Capitão Horta,155 -,Centro,(19) 36713117,9789
SP,Botucatu,Avenida Marginal 200,680 -,Vila Real,14997754505,1076831
SP,Botucatu,Avenida Alcides Cagliari,2.601 -,Jardim Evelyn,(14) 3813 6912,659092
SP,Botucatu,Rua General Tele,251-a -,Centro,(14) 3814-6141,2005695
SP,Indaiatuba,"Rua Candelária, 1744 Centro",1744 -,Centro,19 3894-6530,6564
SP,Cabreuva,"Rua Bras Lopes Filho, 37 Jacaré",685 - Sala 3,Jacaré,11 9958-5794,11535
SP,Guaratingueta,Av. Juscelino Kubtischeck de Oliveira,957 -,Campo do Galvão,(12)3128-3000,9874
SP,Cacapava,Rua Professor Argemiro Telles Gopfert,51 -,Vila São João,(12) 36522867; (12) 36531110,1065735
SP,Campinas,Rua Doutor Antônio Galízia,155 - Campinas,Cambuí,(19) 9917-91947,1084973
SP,Botucatu,Rua General Telles,251 A  -,Centro,(43) 3371-7473  (31) 2126-0820,1051533
SP,Campinas,Avenida Doutor Moraes Salles,1181 -,Centro,(19)2513-5225,8566
SP,Campinas,Rua Wadi Abdala Gnatos,7 -,Jardim Monte Cristo,(19)3269-1628,9191
SP,Campinas,Rua Duque de Caxias,1086 -,Centro,19 32014100,2005950
SP,Campinas,Rua Luis Otávio,1313 -,Taquaral,(19)3296-5010,4233
SP,Indaiatuba,Avenida Nove de Dezembro,460 -,Jardim Pedroso,19  3885 9900,1060156
SP,Campinas,Rua Emília Stefanelli Ceregatti,S/n -,Jardim Morumbi,(19) 3512-1700,659945
SP,Campinas,"Estrada Municipal Unicamp/telebrás, Km 1",S/n -,Barão Geraldo,(19) 3754-8500,658483
SP,Campinas,Rua José Rosolen,171 -,Jardim Londres,(19) 3229 0841,32681
SP,Campinas,Rua Doutor Theodoro Langaard,126 -,Bonfim,16-3610-9036,1069506
SP,Campinas,Avenida Doutor Manoel Afonso Ferreira,245 -,Jardim Paraíso,1124243860,1063386
SP,Campinas,Rua Doutor Salles de Oliveira,1.661 -,Vila Industrial,(19) 4501-2613,1045316
